,Unnamed: 0,movieId,ratingnum,avg_rating,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentary,IMAX,Western,Film-Noir,(no genres listed)
0,0,1,215,3.92093023255814,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,110,3.4318181818181817,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,52,3.2596153846153846,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,7,2.357142857142857,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,5,50,3.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,6,102,3.946078431372549,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
6,6,7,54,3.185185185185185,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,8,8,2.875,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,9,16,3.125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,9,10,132,3.496212121212121,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10,10,11,70,3.6714285714285713,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,12,19,2.421052631578948,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,12,13,8,3.125,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,14,18,3.8333333333333335,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,15,13,3.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,15,16,82,3.926829268292683,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16,16,17,67,3.776119402985074,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,18,20,3.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,19,88,2.727272727272727,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,20,15,2.5,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
20,20,21,89,3.49438202247191,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
21,21,22,36,3.2222222222222223,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
22,22,23,16,3.125,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
23,23,24,28,3.125,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
24,24,25,76,3.625,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,26,13,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,27,9,3.333333333333333,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,28,11,4.227272727272728,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,29,38,4.0131578947368425,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
29,29,30,3,3.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
30,30,31,38,3.1842105263157894,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,32,177,3.983050847457627,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
32,32,34,128,3.65234375,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,36,67,3.835820895522388,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
34,34,38,4,2.125,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,39,104,3.293269230769231,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,40,2,4.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,41,15,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
38,38,42,7,3.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
39,39,43,8,3.1875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,44,46,2.5434782608695654,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,41,45,32,3.3125,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
42,42,46,15,3.066666666666667,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,47,203,3.975369458128079,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
44,44,48,68,3.147058823529412,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
45,45,49,1,3.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,50,204,4.237745098039215,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
47,47,52,28,3.4642857142857144,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,53,2,5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,54,3,2.333333333333333,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,55,1,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,57,8,3.0625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,58,37,4.027027027027027,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,60,34,3.235294117647059,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,61,6,3.75,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
55,55,62,80,3.70625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,63,7,2.7142857142857144,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,57,64,5,2.2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,65,31,2.532258064516129,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,66,9,2.5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
60,60,68,5,3.4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,69,20,3.775,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,70,55,3.5090909090909093,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
63,63,71,5,1.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,64,72,7,3.2142857142857144,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,73,13,3.4615384615384617,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
66,66,74,8,4.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,75,5,2.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,76,15,3.4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
69,69,77,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,70,78,3,3.333333333333333,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
71,71,79,17,2.764705882352941,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
72,72,80,2,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73,81,14,3.107142857142857,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
74,74,82,8,3.875,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,83,1,3.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,85,7,3.857142857142857,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,86,15,3.966666666666667,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78,78,87,7,2.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,88,16,3.15625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,89,10,3.25,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
81,81,92,8,2.625,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
82,82,93,9,2.833333333333333,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,83,94,10,3.95,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,95,84,3.023809523809524,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
85,85,96,1,3.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,97,10,3.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
87,87,99,2,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,88,100,14,2.7857142857142856,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
89,89,101,23,3.782608695652174,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,90,102,5,2.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,103,3,3.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
92,92,104,99,3.4393939393939394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,105,23,3.282608695652174,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,106,1,4.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95,107,26,3.326923076923077,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,96,108,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,97,110,237,4.031645569620253,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
98,98,111,104,4.105769230769231,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
99,99,112,46,3.5434782608695654,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
100,100,113,3,3.333333333333333,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
101,101,116,5,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,102,117,1,3.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
103,103,118,2,2.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104,119,2,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105,121,2,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106,106,122,16,2.65625,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,107,123,4,4.375,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
108,108,125,12,3.583333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,109,126,7,2.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,110,128,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,111,129,1,2.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,112,132,6,2.833333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,113,135,31,2.9516129032258065,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,114,137,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
115,115,140,16,3.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116,141,86,3.494186046511628,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,117,144,12,3.333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,118,145,51,3.2450980392156863,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
119,119,146,3,3.333333333333333,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,120,147,15,3.466666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
121,121,148,1,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
